date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:43	137157/137157	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:54:52%20GMT	https://static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4~mv2.jpg/v1/fill/w_1055,h_704,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4_mv2.jpg/v1/fill/w_1055,h_704,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:44	109625/109625	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:54:53%20GMT	https://static.wixstatic.com/media/4c068e_25f663873e89490eb325e9f7b2ea6aa1~mv2.jpg/v1/crop/x_24,y_0,w_690,h_899/fill/w_412,h_537,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/David_-_Napoleon_crossing_the_Alps_-_Malmaison2.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_25f663873e89490eb325e9f7b2ea6aa1_mv2.jpg/v1/crop/x_24,y_0,w_690,h_899/fill/w_412,h_537,al_c,q_80,usm_0.66_1.00_0.01,enc_au/David_-_Napoleon_crossing_the_Alps_-_Malmaison2.9.d	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:45	749577/749577	---MCZ	200	added ('OK')	text/html	etag:W/%221c7981fa3b0eb0403213c9ed8a7b9d4d%22	https://g4brycsca41010.wixsite.com/ilmiosito/faq	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/ilmiosito/faq.html	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:45	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/g4bry/Desktop/sitp/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:46	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2019:54:55%20GMT	https://g4brycsca41010.wixsite.com/sitemap.xml	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/sitemap.c.delayed	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:46	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2019:54:55%20GMT	https://g4brycsca41010.wixsite.com/feed.xml	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/feed.d.delayed	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:46	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2019:54:55%20GMT	https://g4brycsca41010.wixsite.com/${n.uri}	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/${n.e.delayed	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:47	87545/87545	---M-Z	200	added ('OK')	application/javascript	etag:W/%2288822b4aceb979ea831171005f41aef5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.40c6479e.bundle.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.40c6479e.bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:47	201778/201778	---M-Z	200	added ('OK')	application/javascript	etag:W/%22da903dc37dfda499da3763ed87820df0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.869bc86c.bundle.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/wix-thunderbolt/dist/main.869bc86c.bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:47	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:48	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:48	10737/10737	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d86dcdbfed4c273c4742744941259902%22	https://static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:49	131882/131882	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264141792105ea4861f9f33294d65ab81%22	https://static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:49	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2019:54:58%20GMT	https://g4brycsca41010.wixsite.com/decodeURIComponent(e	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/decodeURIComponent(e.15.delayed	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:49	7305/7305	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f370ea20b812382ebe915671e3e24%22	https://static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:51	30907/30907	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:51	127759/127759	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:00%20GMT	https://static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4~mv2.jpg/v1/fill/w_1028,h_686,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4_mv2.jpg/v1/fill/w_1028,h_686,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
20:54:51	33613/33613	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:00%20GMT	https://static.wixstatic.com/media/4c068e_0845f4957c9b43b7a9f4ee9e361ab8c8~mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_0845f4957c9b43b7a9f4ee9e361ab8c8_mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
20:54:52	33835/33835	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:01%20GMT	https://static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4~mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_6d75093cc6724ddfa3e73ecdd6ded6a4_mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
20:54:52	33623/33623	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:01%20GMT	https://static.wixstatic.com/media/4c068e_027ded8e0f8f4c158a018722b17d581e~mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_027ded8e0f8f4c158a018722b17d581e_mv2.jpg/v1/fill/w_558,h_372,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
20:54:53	1107/1107	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:02%20GMT	https://static.wixstatic.com/media/4c068e_0845f4957c9b43b7a9f4ee9e361ab8c8~mv2.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_0845f4957c9b43b7a9f4ee9e361ab8c8_mv2.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
20:54:53	1120/1120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Mar%202024%2019:55:02%20GMT	https://static.wixstatic.com/media/4c068e_489de82795444ada8a2b92abf1117a28~mv2.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.jpg	C:/Users/g4bry/Desktop/sitp/static.wixstatic.com/media/4c068e_489de82795444ada8a2b92abf1117a28_mv2.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/image-from-rawpixel-id-6130364-jpeg_edit.html	(from https://g4brycsca41010.wixsite.com/ilmiosito/about)
